label, text
 Car maintenance and repair, Sunroof sealing strip
 trading, Oil Exploration
 Coal-fired generators, chimney
 Crystalline silicon material, Silicon rod
 Solar cell modules, Photovoltaic panel automatic detection tool
 Warehousing and distribution, Loading and unloading equipment
 Charging station service, Fast charging station
 Car interior products, Smart front windshield wiper
 Thermal imaging camera, Infrared thermal imaging camera project consulting services
 lubricating oil, Food grade grease
 Power System, Power System Optimizer
 Information business, Government Information Release Platform
 Power Equipment, Power information construction consulting services
 Photovoltaic modules, Photovoltaic module electrical safety testing
 Satellite navigation application system, Satellite signal receiving equipment
 Equipment Installation, Lifting equipment installation
 Wind power operation, Wind farm meteorological monitoring
 Decoration, Water Heater
 Power Station, Generator performance test
 Lithium-ion battery, Battery Module
 Power battery system, Battery electrochemical performance testing services
 Satellite navigation application system, Surgical navigation system
 New energy logistics vehicle, Electric Truck Battery Parts
 Photovoltaic power station operation, Photovoltaic power plant design software
 Management Consulting,Talent recruitment and development
 Commercial trade services, Import and export license processing
 Auto Finance, Used car loan approval process
 Car interior products, Car accessories
 Power battery system, Battery recycling technology
 Power transmission equipment, Power dispatch consulting services
 Wind power operation, Wind farm production safety management
 Car maintenance and repair, Car noise treatment
 Crystalline silicon material, Silicon photovoltaic panels
 Satellite communication transmission equipment, Satellite Broadcast Signal Processor
 Energy Management System, Intelligent Power Analysis Platform
 Mechanical Equipment, Worm Gear
 Wind power, Wind farm electronic monitoring system
Automation control products, Smart metering system
 Charging and swapping stations, Power parallel equipment
 Power Equipment, Combined cycle generator sets
 Metal Crafts, Steel ornaments
 Decoration, Inlaid wooden floor
 Automobile, Car electric rearview mirror
 Steel, Steel Wire
 Engine parts, Oil pan gasket
 Brokerage Agent, Business Gifts Agency
 Motor, Motor dynamic balance test
 fastener, Fully automatic bolt installation machine
 Power battery system, Battery intelligent repair service
 Metal smelting and processing, Copper Ore
 Mechanical Equipment, Drill Press
 lubricating oil, Transmission oil
 Steel, Continuous Casting Steel
 Rim, Special lubricant for rims
 Photovoltaic power station operation, Power plant safety management software
 trading, Global tax planning services
 trading, Online retail services
 Metal smelting and processing, Electrolytic Aluminum
 Energy Management System, Green Building Energy Management System
 Commercial trade services, Talent recruitment services
 Power System, Car power adapter
 Power Equipment, Power dispatching automation system
 Steel, Steel Distribution
 Car maintenance and repair, Car radiator replacement
 Inorganic Fiber, Glass fiber reinforced composites
 Monitoring unit, Rapid response monitoring
 Equipment Installation, Mobile communication base station installation
 Monitoring unit, Video capture card
 Photovoltaic power station operation, Power station information transmission service
Automation control products, Automated power distribution system
 Car interior products,Portable first aid kit
 Integrated control system, High voltage switch control system
 Mechanical Equipment, Air Filter
 nuclear power, dynamo
 Mechanical Equipment, Electric drive
 Information business, User behavior analysis tools
 Satellite communication transmission equipment, Satellite data transmission system
 Energy Management System, Power Network Optimization Software
 Testing machine, Thermal Cycle Tester
 Steel, Hot dip galvanized steel
 Satellite communication transmission equipment, Satellite data compression module
 Lithium-ion battery, Battery Tester
 Power Equipment, Green certification for power equipment
 Crystalline silicon material, Crystalline silicon cell laser scribing
 Photovoltaic modules, Photovoltaic system performance monitoring software
 Pumped Storage, Power station automation equipment
 Warehousing and distribution, Warehouse space optimization services
 Wind power operation,Wind farm grid connection
 Automobile, Car headrest
Automation control products, Electronic label system
 Metal smelting and processing, High alloy steel smelting
 lubricating oil, Diesel engine lubricant additives
 Glasses, Optical consultation service
 fastener, Pipe fastening bolts
 trading,Patent application services
 Power System, Digital Power Module
 Mechanical Equipment, Measuring instruments
 Rim, Rim cleaning service
 New energy logistics vehicle, Electric heavy truck battery replacement service
 Power transmission equipment, Electric power high voltage current measuring instrument
 Mechanical Equipment, Forklift
 Inorganic Fiber, Asbestos cloth
 Pigments, Coral pigment
 Mechanical Equipment, Metal processing equipment
 Crystalline silicon material, Silicon Photovoltaic Cell Testing
 oil, Oil production technology promotion
 Power Station, Power Engineering Risk Management
 Wind power plant development and construction, Wind turbine installation
 Energy Management System, Heat Pump System Energy Efficiency Management
 Warehousing and distribution, Accurate inventory system
 Metal Crafts, Copper lamps
 oil, Oilfield development and management
 Power battery system, Battery discharge equipment
 Lithium-ion battery, Lithium Battery Material Testing Services
 New energy logistics vehicle, Electric logistics vehicle on-board battery testing
 Pigments, Dark blue pigment
 Pumped Storage, Energy storage regulation system
 Warehousing and distribution, Delivery precise positioning system
 New energy logistics vehicle, Electric logistics vehicle battery full life cycle management
 Temperature Sensor, Low Pressure Temperature Sensor
 Motor, Submersible pump motor
 Power battery system, Battery Pack Integration Services
 Pigments, Art oil paint
 Glasses, High-efficiency optometry equipment
 New Energy Vehicles, New Energy Vehicle Smart Charging Network
 Power Equipment, Electromagnetic radiation detection of electrical equipment
 Satellite navigation application system, Precision hydrological monitoring system
 Information business, Professional Information Magazine
 Auto Finance, Car loan interest rate comparison
 Brokerage Agent, Commodity Agent
 Integrated control system, Wireless control system
 nuclear power, Nuclear power digital operation platform
 Motor, Motor high temperature resistant materials
 Motor, Motor current harmonic analysis
 Wind power plant development and construction, Wind farm infrastructure construction
 Decoration, Anti-theft devices
 nuclear power, Nuclear power load dispatch software
 Wind power, Wind power project Wind power access technology
 Mechanical Equipment, Electronic measuring instrument
 oil, gasoline
 Metal Crafts, Stainless steel tea tray
 Body accessories, Car roof rainwater drainage device
 Coal-fired generators, Coal transportation system
 Industrial gas processing equipment, Waste gas treatment equipment
 Energy Management System, Power safety management system
 Satellite communication transmission equipment, Satellite Multi-Service Gateway
 Mechanical Equipment, Electric welding machine
 Mechanical Equipment, Current Transducer
 Crystalline silicon material, Silicon battery testing equipment
 Energy Management System, Wind power efficiency optimization
 Glasses, Glasses Dispensing Management Software
 Pigments, Nitro lacquer
 Management Consulting, Refined operation management
 Automobile, Automotive safety glass
 Metal Crafts, Copper decorative frame
 Warehousing and distribution, Intelligent management of delivery vehicles
 Satellite communication transmission equipment, Satellite High Efficiency Signal Converter
 Auto Finance, Car loan limit increase
 Coal-fired generators, Boiler Flue Gas Desulfurization System
 Truck, Cargo
 Auto Finance, Car loan approval criteria
 Satellite navigation application system, Road transport management system
 fastener, Manual screw
 Charging station service, Electric Vehicle Charging Facility Data Center
 Information business, Enterprise News Automation System
 Photovoltaic power station operation, Line maintenance service
 Temperature Sensor, Field temperature sensor
 Car interior products, Driver's seat lumbar cushion
 Power Generation Machinery, High efficiency gas unit
 Metal smelting and processing, Aluminum electrolytic equipment
 Charging station service, Automatic fault diagnosis of charging equipment
 Body accessories, Car sunshade
 Power Generation Machinery, Waste heat recovery device for thermal power units
 Glasses, Protective glasses
 Power Equipment, Power Equipment Cleaning Service
 Photovoltaic modules, Photovoltaic module long-term durability testing
 Equipment Installation, Oven installation
 Coal-fired generators, Coal-fired boiler safety inspection equipment
 Auto Finance, Car loan product selection
 Iron and Steel Metallurgy, Material Testing Laboratory
 Solar cell modules, Solar panel temperature equalization technology
 Wind power plant development and construction, Wind farm power transmission optimization
 Wind power plant development and construction, Geological Hazard Assessment for Wind Power Projects
 trading, Compliance consulting for multinational companies
 Motor oil, Engine oil customization service
 Crystalline silicon material, Silicon material nano powder
 Auto Finance, Auto finance product upgrade
 Engine parts, Coolant Add
 Power Generation Machinery, Gas power generation control system
 Car interior products, Window lift button
 Brokerage Agent, Enterprise Device Agent
 Auto Finance, Car loan early settlement calculator
 Brokerage Agent, Textile Agents
 Wind power plant development and construction, Wind farm power demand forecasting
 Metal smelting and processing, Pickling
 Temperature Sensor, Temperature measurement with infrared camera
 Management Consulting, Business integration consulting
 Power transmission equipment, Power grid load regulation equipment
 Integrated control system, Cloud Control Platform
 Photovoltaic power station operation, Environmental adaptability assessment of power plants
 Thermal imaging camera, Infrared thermal imager integrated circuit
 Energy Management System, Solar cell management system
 Pigments, Green Dye
 Lithium-ion battery, Lithium battery fault detection service
 Testing machine, Textile testing machine
 Intelligent transportation equipment, Pavement temperature monitoring system
 Brokerage Agent, Professional Qualification Certification Agency
 Thermal imaging camera, Thermal imager image conditioner
 Satellite communication transmission equipment, Satellite access control equipment
 Equipment Installation, Bridge inspection equipment installation
 Information business,Digital Publishing Platform
 Motor oil, Oil recommendations for car owners
 Solar cell modules, High-efficiency solar cell materials
 Wind power plant development and construction, Wind power project planning and approval
 Satellite navigation application system, Positioning transmission equipment
 Mechanical Equipment, Automatic packaging machine
 Car maintenance and repair, Roof sunroof repair
 Charging station service, Automatic detection and repair of charging piles
Automation control products, Industrial control motherboard
 Energy storage machine, Energy storage battery packaging system
 Car maintenance and repair, Automotive wiring harness repair
 Energy storage machine, Intelligent transformation of energy storage equipment
 Photovoltaic modules, Photovoltaic reverse connector
 Wind power plant development and construction, Wind farm communication system
 Coal-fired generators, Environmental monitoring system for coal-fired power generation units
 Wind power, Wind turbine high speed gear
 Motor, Motor Failure Prediction
 Construction Machinery, Automatic road sweeper
 Truck, Improved fuel efficiency
 Equipment Installation, Amusement equipment installation
 Wind power, Wind power equipment repair services
 Monitoring unit, Automated monitoring system
 Photovoltaic power station operation, Inverter
 Iron and Steel Metallurgy, Manganese Ore
 Decoration, ceiling
 Iron and Steel Metallurgy, Blast furnace smelting equipment
 Coal-fired generators, Burner
 Car maintenance and repair, spring
 Intelligent transportation equipment, Traffic flow prediction system
 Automobile, Car Batteries
 lubricating oil, Electronic equipment lubricants
 Metal Crafts, Metal Jewelry
 Crystalline silicon material, Photovoltaic power generation system
 Management Consulting, Enterprise profitability analysis
 Wind power operation, Wind turbine current analysis
 Wind power plant development and construction, Wind farm power grid connection service
 Inorganic Fiber, Chrome fiber reinforced composites
 Temperature Sensor, Sewage temperature sensor
 Auto Finance, Car loan fees
 Integrated control system, Embedded Controller
 Metal Crafts, Copper shelf
 fastener, Non-magnetic bolts
 Charging and swapping stations, Substation data collector
 Charging and swapping stations, Fiber Optic Module
 Rim, Brake rims
 Power transmission equipment, Power distribution network intelligent system
 Metal smelting and processing, Tungsten and molybdenum smelting equipment
 oil, Polyethylene terephthalate
 Satellite communication transmission equipment, Satellite communication bandwidth control system
 Wind power, Wind farm optimization services
 Auto Finance, Automobile Credit Management System
 Wind power operation, Wind turbine performance monitoring system
 Power Station, Power equipment upgrade
 Monitoring unit, Equipment operation and maintenance monitoring
 oil, fatty acid
 Intelligent transportation equipment, Intelligent Traffic Prediction System
 Satellite communication transmission equipment, Satellite communication integrated platform
 Metal Crafts, Zinc alloy craft lamp
 Construction Machinery, Vibratory plate roller
 lubricating oil, Electrical equipment lubricants
 Crystalline silicon material, Silicon material smelting technology
 Warehousing Services, Warehousing and cargo distribution services
 Mechanical Equipment, Sawing Machine
 oil, Oil and gas collection system
 Power System, Power protection switch
 Information business, Digital Library
 Metal smelting and processing,Iron ore crushing
 Wind power, Wind turbine electrical design services
 fastener, Anti-seismic nuts
 Thermal imaging camera, Thermal imaging camera repair service
 Video surveillance equipment, Analog video recorder
 Photovoltaic modules, Photovoltaic system grounding equipment
 Metal smelting and processing, Aluminum Alloy Tube
 Satellite communication transmission equipment, Satellite Link Traffic Optimizer
 Solar cell modules, Large inverter
 Intelligent transportation equipment, Intelligent highway traffic condition detection system
 oil, Oil Trade Fair
 Metal smelting and processing, Efficient aluminum smelting
 Wind power operation, Analysis of hydraulic system of wind turbine
 Brokerage Agent, Water agency services
 Energy storage machine, Low temperature energy storage technology
 Equipment Installation, Glass curtain wall installation
Automation control products, Integrated Automation System
 Power Equipment, Power data backup and recovery services
 Decoration, Sliding Doors
 Power Equipment, Power and electrical accessories and tools
 Automobile, Car handbrake
 Power System, Power filter
 Rim, Rim phosphate treatment
 Video surveillance equipment, Video Wall Display Controller
 Thermal imaging camera, Infrared thermal imaging camera data analysis service
 Warehousing and distribution, Freight Zone System
 Power Equipment, Electrical Load Management System
 New energy logistics vehicle, Electric delivery vehicle powertrain
 Satellite communication transmission equipment, Satellite broadcast transmitter
 Photovoltaic power station operation, Photovoltaic cell module management
 Power System, Power conversion module
 Charging station service, Charging pile wireless communication module
 Monitoring unit, Internet of Things Monitoring System
 Mechanical Equipment, roller
 Monitoring unit, Highway traffic flow monitoring
 Engine parts, Fuel temperature sensor
 Motor oil, Oil flushing machine
 New Energy Vehicles, New energy vehicle energy-saving management system
 Testing machine, Electronic universal testing machine
 Glasses, Vision protection glasses
 Wind power plant development and construction, Wind farm monitoring platform development
 Management Consulting, Market share analysis
 lubricating oil, Cleaning lubricating oil
 Metal Crafts, Bronze Sculpture
 Pumped Storage, Power Industry Safety Management Services
 Integrated control system, Current Sensors
 Industrial gas processing equipment, Oxygen filling equipment
 Integrated control system, Power dispatching control system
 Photovoltaic power station operation, Photovoltaic Cell Cleaning Service
 Coal-fired generators, Unit starting system
 Steel, Continuous Steel Casting
 Photovoltaic modules,Photovoltaic cell coating equipment
 Wind power operation, Wind farm risk assessment
 Wind power, Wind farm wind energy forecast service
 Car Repair, Car Temperature Sensor Replacement
 fastener, Fine nut production
 Video surveillance equipment, Video storage device
 oil, Gas pipeline
 Testing machine, Load testing machine
 Motor, Motor tester
 New Energy Vehicles,New Energy Vehicle Home Charging Solutions
 Auto Finance, Car loan institutions
 Thermal imaging camera, Infrared thermal imager remote monitoring platform
 Power System, Power Load Tester
 Power battery system, Battery Safety Certification Service
 Thermal imaging camera, Thermal imaging camera battery
 Charging and swapping stations, Substation Equipment Monitoring System
 Engine parts, windshield
 Metal Crafts, Copper pen holder
 New energy logistics vehicle,Electric logistics vehicle battery pack
 Metal Crafts, Steel wall light
 Integrated control system, Servo drive system
 Body accessories, Rear bumper
 Warehousing Services, Warehouse equipment maintenance
 Motor oil, Precision oil testing equipment
 Construction Machinery, Rail tractor
 Rim, Rim production automation
 Engine parts, Coolant pump
 lubricating oil, Automotive lubricant formula
 Power Equipment, Power product performance standardization
 fastener, Drill bit screw
 Power transmission equipment, Power distribution cabinet
 Motor oil, Synthetic gear oil
 Automobile, Car window regulators
 Iron and Steel Metallurgy, Surface hardening
 Photovoltaic modules, Photovoltaic cell reflectivity
 fastener, Lock washers
 Inorganic Fiber, Chrome fiber braided rope
 Power battery system, Battery Cell System Calibration
 Integrated control system, Wind power generation control system
 Power Generation Machinery, Cooling Tower
 Truck, Electric vehicle accessories
 Video surveillance equipment, Video streaming service
 Photovoltaic modules,Photovoltaic cell laser cutting equipment
 Financial leasing, Corporate leasing tax advisor
 Warehousing and distribution, Information Sharing Platform
 Photovoltaic modules, Photovoltaic panel cleaner
 Iron and Steel Metallurgy, Hot rolled steel plate
 Car Repair, Clutch Repair
 Energy Management System, Power grid operation monitoring software
 Photovoltaic power station operation, Power system test equipment
 Solar cell modules, Solar cell repair and maintenance
 Power battery system, Battery recycling system design
 Pumped Storage, Running data analysis system
 Financial leasing, Financial leasing income management
 Auto Finance, Multi-brand car loan
 Solar cell modules, Solar cell module standardization
 Car interior products, Roof airbag
 Pigments, Grape Purple Pigment
 Management Consulting, Senior Talent Introduction Consulting
 Pigments, Watercolor paint
 Decoration, Furniture repair
 Engine parts, Oil sensor
 Decoration, Leather furniture
 Car Repair, Car sports exhaust system
 oil, Oilfield production equipment
 Power System, Power automation control system
 Power Equipment, Power system optimization algorithm service
 Mechanical Equipment, robot
 Financial leasing, Corporate Leasing Credit Assessment
 Coal-fired generators, System Integration Services
 Power Generation Machinery, Power system intelligent services
 Satellite navigation application system, Passenger flow analysis and prediction system
 Car maintenance and repair, Car headlight adjustment
 Steel, Galvanized steel sheet
 Rim, Rim oxide film
 fastener, Bolt with washer
 Mechanical Equipment, Steam generator
 Metal smelting and processing, Refined Copper
 Testing machine, Electronic tensile testing machine
 Glasses, Children's glasses
 Charging and swapping stations, Real-time monitoring of power systems
 Industrial gas processing equipment, Hydrogen filling equipment
 New energy logistics vehicle, Electric Truck Power Management System
 Management Consulting, Salary and benefits design
 Mechanical Equipment, Aluminum production line
 oil, Oil and gas industry talent training
 trading, International order tracking and management services
 Energy Management System, Electric vehicle energy efficiency monitoring system
 Energy storage machine, Battery recycling equipment
 Energy storage machine, Energy storage battery exhaust system
 Satellite navigation application system, Logistics distribution route optimization
 Engine parts, Engine vents
 Solar cell modules, Solar panel routine testing
 Video surveillance equipment, Access control monitoring system
 Testing machine, Ring testing machine
 trading, Ticket Agent
 Financial leasing, Comprehensive management of leased assets
 Monitoring unit, Data security monitoring system
 Power Generation Machinery, Substation Automation System
 Construction Machinery, Road sweeper
 Metal Crafts, bronze
 Motor, Motor Control Software
 fastener, Self-locking screws
 Satellite communication transmission equipment, Satellite Link Tester
 Power battery system,Battery performance test equipment
 Testing machine, Tire performance tester
 Car interior products, Door storage compartment
 oil, Oil Drilling Technology
 Photovoltaic modules, Photovoltaic system design consultation
 Decoration, Pillow
 Car maintenance and repair, In-car air purification
 Power Station, Wind turbines
 Iron and Steel Metallurgy, Manganese steel
 oil, Oil and gas equipment maintenance
 Brokerage Agent, Strategic Consulting Agency
 Car maintenance and repair, Car window replacement
 Commercial trade services, International market penetration
 Photovoltaic modules, Photovoltaic cell back electrode
 Wind power plant development and construction, Wind turbine blade repair
 Management Consulting, Investment project risk assessment
 Metal smelting and processing, Precision Metal Forging
 Lithium-ion battery, Lithium battery separator
 Video surveillance equipment, Video secure storage hard drive
 Mechanical Equipment, Centrifugal fans
 Motor, Motor system level testing
 Power System, Reactive power compensation device
 Industrial gas processing equipment, Drying tower
 Power battery system, Battery Thermal Runaway Testing Services
 Decoration, ceramic tile
 Power battery system, Battery Energy Storage System Safety Monitoring
 Metal smelting and processing, Aluminum alloy ingot
 Power Station, Electricity Demand Response Management
 Photovoltaic modules, Photovoltaic cell temperature field test
 Equipment Installation, Weak current equipment installation
 Engine parts, Fan impeller
 Truck, Tire replacement service
 Monitoring unit, Base station monitoring system
 Satellite communication transmission equipment, Satellite Audio Decoder
 Rim, Rim compliance testing
 Monitoring unit, Water quality monitoring system
 trading, Information Technology Support
 fastener, Lock nut
 Motor, Motor low temperature test
 Management Consulting, Digital product development strategy
 fastener, Paint Nuts
 Pigments, Basic dyes
 trading, Cross-cultural communication training
 nuclear power, Nuclear power plant outsourcing services
 Wind power operation, Wind farm technical service support
 Power Station, High voltage electrical components
 Construction Machinery, Tunnel Dredging Vehicle
 Solar cell modules, Solar cell thermal control system
 lubricating oil, Car engine oil
 Satellite communication transmission equipment, Satellite data flow monitoring system
 Information business, Public Opinion Analysis Report
 Warehousing and distribution, Electric forklift
 Motor, Motor capacitor
 Iron and Steel Metallurgy, Industrial furnace
 Warehousing Services, Warehouse waste management
 fastener, Stainless steel bolts
 Photovoltaic power station operation, Photovoltaic junction box
 Pumped Storage, Power load regulation facilities
 Crystalline silicon material, Crystalline silicon cell performance monitoring
 oil, diesel fuel
 Temperature Sensor, Capacitive Temperature Sensor
 Charging and swapping stations, Fiber Optic Distribution Frame
 Power Generation Machinery, Wind farm construction
 Satellite communication transmission equipment, Satellite frequency synthesizer
 Power Station, Environmental protection equipment
 lubricating oil, Long life lubricant
 Information business, Online News Editor
 Temperature Sensor, Temperature display module
 Photovoltaic modules, Photovoltaic cell metallization layer analysis
 Glasses, Eyeglass vision test tool
 Body accessories, Energy-absorbing material for car body
 Metal Crafts, Copper key rack
 New energy logistics vehicle, Mobile Charging Station
 Construction Machinery, Power reversing valve
 Metal Crafts, Copper music box
 Temperature Sensor, Underwater temperature sensor
 Glasses, Virtual glasses try-on technology
 Wind power operation, Wind turbine wind pressure monitoring
 trading, Business Mail Service
 Power battery system, Battery Recycling Materials
 Decoration, Environmentally friendly wall materials
 Information business, Knowledge graph information service
 Auto Finance, Car loan interest rates
 Metal smelting and processing, Aluminum alloy ingot casting
 Power Generation Machinery, Fan
 Motor oil,Oil change tools
 Integrated control system, Automatic cooling system
Automation control products, Power control system
 Car Repair, Battery charging detection
 Commercial trade services, Foreign trade customer management
 Power transmission equipment,Transient overvoltage protection device
 Warehousing Services, Batch processing services
 Construction Machinery, Construction machinery transport vehicle
 Construction Machinery, Mobile cranes
 Power battery system, Battery Environmental Adaptability Testing Service
 Inorganic Fiber, Aluminum silicate fiber paper
 Power transmission equipment, High voltage cable
 Engine parts, Engine oil circuit sensor
 Solar cell modules, Solar cell technology transformation service
 trading, Advertise with us
 fastener, Connecting nut
 lubricating oil, Compressed gas lubricants
 Energy Management System, Solar power generation management system
 fastener, Automatic locking bolt
 Truck, Reverse radar
 Car Repair, Car multimedia repair
 Car interior products, Window buttons
 Photovoltaic modules, Photovoltaic panel frame
 Automobile, Automobile Emission Control Systems
 Power Station, Power facility renovation project
 Construction Machinery, Hydraulic elevator
 Metal smelting and processing, Ferroalloy smelting
 Equipment Installation, High temperature water treatment equipment installation
 Metal Crafts, Steel Garden Tools
 Integrated control system, Automated product manufacturing line
 Power battery system, Battery Waterproof Testing Service
 fastener, Heat-resistant nuts
 Decoration, Shower Room
 Intelligent transportation equipment, Smart parking reservation system
 Power battery system, Wireless battery charging technology
 Truck, Emergency Towing Service
 Decoration, Flowing lights
Automation control products, Carbon dioxide sensor
 Power transmission equipment, Power distribution device
 Photovoltaic modules, Synthetic resin packaging materials for photovoltaic modules
 Financial leasing, Leasing Financing Demand Analysis
 Metal smelting and processing, Stainless steel profiles
 Charging and swapping stations, Power Load Forecasting System
 Management Consulting, Corporate compliance audit
 Power Generation Machinery, Generator Fault Detection System
 Car maintenance and repair, tire
 Equipment Installation, Data center cabinet installation
 Intelligent transportation equipment, Highway Lane Management System
 Inorganic Fiber, Glass fiber needle felt
 Warehousing Services, Warehouse capacity optimization
 Pigments, Site marking paint
 Power Generation Machinery, Power dispatching automation system
